system:index,01-2018 to 02-2018,01-2019 to 02-2019,01-2020 to 02-2020,02-2018 to 03-2018,02-2019 to 03-2019,02-2020 to 03-2020,03-2018 to 04-2018,03-2019 to 04-2019,03-2020 to 04-2020,04-2018 to 05-2018,04-2019 to 05-2019,04-2020 to 05-2020,05-2018 to 06-2018,05-2019 to 06-2019,05-2020 to 06-2020,06-2018 to 07-2018,06-2019 to 07-2019,06-2020 to 07-2020,07-2018 to 08-2018,07-2019 to 08-2019,07-2020 to 08-2020,08-2018 to 09-2018,08-2019 to 09-2019,08-2020 to 09-2020,09-2018 to 10-2018,09-2019 to 10-2019,09-2020 to 10-2020,10-2018 to 11-2018,10-2019 to 11-2019,10-2020 to 11-2020,11-2018 to 12-2018,11-2019 to 12-2019,11-2020 to 12-2020,12-2018 to 01-2019,12-2019 to 01-2020,12-2020 to 01-2021,date,.geo
0,0.4125303030014038,0.28317514061927795,,0.4605826437473297,0.2888960540294647,,0.04861186072230339,0.4281831681728363,0.29043781757354736,0.39615488052368164,0.2838978171348572,0.22716909646987915,0.29047808051109314,0.126009002327919,0.14361386001110077,0.23411402106285095,0.18855412304401398,0.09031050652265549,0.10356377065181732,0.12978726625442505,0.09810090065002441,0.17109578847885132,0.14893633127212524,0.06532860547304153,0.1416787952184677,0.139352485537529,0.10395388305187225,0.023875486105680466,0.17376331984996796,0.12893478572368622,0.15392448008060455,0.2333373874425888,0.0888809934258461,0.13741245865821838,0.21476705372333527,0.18726448714733124,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[35.32,-15.39]}"
1,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
2,0.0806429535150528,0.24006950855255127,,0.27887722849845886,0.21174614131450653,0.07262792438268661,0.19706475734710693,0.3393693268299103,0.3207225203514099,0.25907689332962036,0.3057166635990143,0.324755996465683,0.2897341251373291,0.15419498085975647,0.30365970730781555,0.24595962464809418,0.17381779849529266,0.23441538214683533,0.21396753191947937,0.13495796918869019,0.1129307895898819,0.2031133472919464,0.09239672869443893,0.15379944443702698,0.16672788560390472,0.12384998798370361,0.17169435322284698,0.18405219912528992,0.08995591849088669,0.10629143565893173,0.15993763506412506,0.11631131172180176,0.12974923849105835,0.09734513610601425,0.08893191069364548,0.13890498876571655,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[35.27,-13.06]}"
3,0.10528296232223511,0.11243504285812378,0.10332165658473969,0.09719745069742203,0.10230612009763718,0.10391374677419662,0.1181308925151825,0.12203951179981232,0.11014188826084137,0.14035044610500336,0.1460830420255661,0.13195806741714478,0.15129931271076202,0.17331717908382416,0.09739445149898529,0.20823752880096436,0.13389837741851807,0.17613542079925537,0.143536776304245,,0.16813571751117706,0.2147258222103119,,,0.0978403240442276,0.2317321002483368,0.20705318450927734,0.08062397688627243,0.18770331144332886,0.17543266713619232,0.14706951379776,0.15695501863956451,0.13548612594604492,0.1449538916349411,0.12134287506341934,0.1356714963912964,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[95.25,18.82]}"
4,0.1757315993309021,0.28190967440605164,0.20617562532424927,0.22363631427288055,0.2966252565383911,0.272464394569397,0.16276976466178894,0.15331533551216125,0.1397293210029602,0.1228829175233841,0.15991894900798798,0.13133572041988373,0.13687090575695038,0.1523464322090149,0.09264460951089859,0.09784411638975143,0.07754460722208023,0.14548425376415253,0.15871508419513702,,0.3185097277164459,0.27318406105041504,,,0.3781106472015381,0.3122023940086365,0.4570297598838806,0.2130974978208542,0.3722846210002899,0.2134152054786682,0.21598206460475922,0.1467892825603485,0.05699864402413368,0.1592201441526413,0.12017294019460678,0.09885216504335403,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[95.36,18.7]}"
5,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
6,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
7,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
8,0.1489490121603012,0.14988276362419128,0.07585914433002472,0.1529611498117447,0.1530293971300125,0.13753148913383484,0.14787781238555908,0.14382785558700562,0.1411036103963852,0.15063868463039398,0.14452718198299408,0.14904816448688507,0.10362379997968674,0.1677980273962021,0.07892884314060211,0.22538523375988007,0.1914161741733551,0.16364862024784088,0.1134786531329155,0.09421729296445847,0.1765824258327484,0.07652588933706284,0.17101234197616577,0.07641994953155518,0.21421906352043152,0.12272496521472931,0.1141752153635025,0.10061895102262497,0.1618306040763855,0.1493956297636032,0.17961393296718597,0.18961374461650848,0.14799261093139648,0.14081870019435883,0.1573752611875534,0.14265429973602295,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[95.13,22.12]}"
9,0.16580624878406525,0.1354190558195114,0.4069788157939911,0.09543260186910629,0.1343895047903061,0.37364721298217773,0.167993426322937,0.1356627643108368,0.23779617249965668,0.31371885538101196,0.251474529504776,0.21448320150375366,0.24694879353046417,0.28380054235458374,0.16304899752140045,0.15442626178264618,0.19724413752555847,0.10987314581871033,0.13142037391662598,0.15651197731494904,0.10967616736888885,0.12730659544467926,0.14054396748542786,0.11625305563211441,0.12361070513725281,0.1613745391368866,0.12420632690191269,0.12619905173778534,0.14804069697856903,0.13424023985862732,0.13045915961265564,0.16610366106033325,0.2280084490776062,0.12061452120542526,0.18232475221157074,0.22848515212535858,"Monday, February 3, 2020","{""type"":""Point"",""coordinates"":[25.31,-25.32]}"
