Sol,Target ID,Novel features,Other comments,,,,,,,,,,,,
1343,,No notes,First image,,,,,,,,,,,,
1347,40,"Sand with sharp colour contrasts.  Novel, but not actually very interesting",,,,,,,,,,,,,
1347,32,Elevated ventifact,,,,,,,,,,,,,
1349,116,Layering,,,,,,,,,,,,,
1349,46,Layering,,,,,,,,,,,,,
1349,28,Layering,,,,,,,,,,,,,
1349,24,Layering,,,,,,,,,,,,,
1353,,No notes,,,,,,,,,,,,,
1369,,No notes,,,,,,,,,,,,,
1371,0,Nodular? Texture,"Nearby area of the same block, but not selected due to lack of resources in the plan",,,,,,,,,,,,
1371,81,High silicon content,"May not be different to the human eye, but was chemically quite distinct, and resulted in priority follow up observations nearby. ",,,,,,,,,,,,
1374,,No notes,,,,,,,,,,,,,
1376,,No notes,,,,,,,,,,,,,
1383,,No notes,,,,,,,,,,,,,
1385,,No notes,,,,,,,,,,,,,
1400,231,"Particulalrly light-toned, with notable texture",,,,,,,,,,,,,
